x   y           label
1	956.30      a
2	1995.50     a
4	3920.60     a
8	7716.80     a
16	15541.70    a
32	30951.80    a
64	62227.60    a
1	944.60      a
2	1903.30     a
4	3804.20     a
8	7652.10     a
16	15821.50    a
32	31018.90    a
64	61617.10    a
1	942.80      a
2	1910.30     a
4	3785.50     a
8	7688.90     a
16	15451.70    a
32	30487.10    a
64	61439.90    a
1	947.00      a
2	1909.80     a
4	3789.60     a
8	7630.80     a
16	15398.60    a
32	31061.70    a
64	61740.10    a
1	940.00      a
2	1896.70     a
4	3784.60     a
8	7576.40     a
16	15259.60    a
32	30987.50    a
64	61915.30    a
1	738.30      b
2	1542.90     b
4	3031.10     b
8	6120.60     b
16	11841.00    b
32	23640.60    b
64	47463.70    b
1	725.50      b
2	1458.40     b
4	2900.60     b
8	5744.00     b
16	11602.30    b
32	23204.90    b
64	48728.00    b
1	731.90      b
2	1504.40     b
4	2972.40     b
8	6061.70     b
16	12064.70    b
32	24551.80    b
64	47165.50    b
1	729.00      b
2	1407.20     b
4	3047.20     b
8	6001.40     b
16	12046.50    b
32	24289.10    b
64	47491.50    b
1	810.80      b
2	1587.00     b
4	3120.60     b
8	5854.20     b
16	11484.00    b
32	24921.40    b
64	47997.00    b
1	29.10       d
2	92.30       d
4	69.50       d
8	196.30      d
16	282.00      d
32	664.50      d
64	794.70      d
1	27.70       d
2	57.20       d
4	60.00       d
8	123.10      d
16	187.30      d
32	565.60      d
64	776.70      d
1	27.30       d
2	57.90       d
4	113.90      d
8	132.00      d
16	415.70      d
32	236.10      d
64	762.10      d
1	31.70       d
2	58.40       d
4	108.80      d
8	65.50       d
16	122.10      d
32	477.40      d
64	718.50      d
1	24.30       d
2	25.60       d
4	36.50       d
8	65.10       d
16	122.90      d
32	372.20      d
64	643.80      d
1	196.00      c
2	379.30      c
4	726.80      c
8	1445.80     c
16	2856.30     c
32	5748.80     c
64	11404.40    c
1	193.90      c
2	357.80      c
4	696.90      c
8	1375.70     c
16	2725.20     c
32	5447.20     c
64	10807.90    c
1	190.60      c
2	361.50      c
4	696.10      c
8	1386.80     c
16	2729.40     c
32	5446.00     c
64	10878.80    c
1	191.40      c
2	369.00      c
4	695.10      c
8	1381.00     c
16	2731.00     c
32	5440.00     c
64	10916.30    c
1	196.40      c
2	361.90      c
4	701.30      c
8	1376.30     c
16	2721.40     c
32	5471.70     c
64	10822.80    c
