
x       y       label
39      2385    a
39      3493    a
39      4062    a
39      4296    a
39      4001    a
74      2554    a
74      2221    a
74      2291    a
74      2224    a
74      2228    a
244     4797    a
244     4799    a
244     4554    a
244     4865    a
244     4404    a
769     14498   a
769     12806   a
769     12680   a
769     12382   a
769     11678   a
1550    34987   a
1550    39026   a
1550    49144   a
1550    53651   a
1550    29573   a
39      2555    b
39      1557    b
39      1574    b
39      1569    b
39      1557    b
74      2023    b
74      2003    b
74      2012    b
74      2003    b
74      2002    b
244     3819    b
244     3796    b
244     3807    b
244     3810    b
244     3802    b
39      9503    c
39      8631    c
39      9156    c
39      9556    c
39      10114   c
74      6575    c
74      6646    c
74      6740    c
74      6588    c
74      6580    c
244     18657   c
244     18447   c
244     18708   c
244     18667   c
244     18383   c
769     51120   c
769     51651   c
769     52147   c
769     51672   c
769     50691   c
1550    118547  c
1550    118525  c
1550    201059  c
1550    144454  c
1550    142315  c
39      6867    d
39      6600    d
39      7400    d
39      3836    d
39      3461    d
74      2634    d
74      2568    d
74      2600    d
74      2560    d
74      2560    d
244     3638    d
244     3629    d
244     3637    d
244     3632    d
244     3602    d
769     7845    d
769     7738    d
769     7865    d
769     7684    d
769     7821    d
1550    28017   d
1550    22733   d
1550    39174   d
1550    22103   d
1550    38586   d
244     183262  e
244     183504  e
244     183467  e
244     183535  e
244     8513    f
244     8272    f
244     8496    f
244     8633    f
244     8569    f
244     8105    f
