x	    y       label
39	    6378    a
39	    5454    a
39	    10450   a
39	    5225    a
39	    4446    a
39	    5575    a
39	    4755    a
39	    3272    a
39	    6018    a
39	    4897    a
74	    2583    a
74	    2616    a
74	    2576    a
74	    2574    a
74	    2568    a
74	    2559    a
74	    2560    a
74	    2571    a
74	    2566    a
74	    2561    a
244	    3662    a
244	    3610    a
244	    3631    a
244	    3596    a
244	    3548    a
244	    3617    a
244	    3572    a
244	    3601    a
244	    3580    a
244	    3605    a
769	    7687    a
769	    7614    a
769	    7601    a
769	    7595    a
769	    7625    a
769	    7680    a
769	    7622    a
769	    7633    a
769	    7612    a
769	    7621    a
1550	23761	a
1550	28509	a
1550	18995	a
1550	33785	a
1550	37934	a
1550	29191	a
1550	36126	a
1550	25673	a
1550	16899	a
1550	23606	a
39	    9919	b
39	    6523	b
39	    9177	b
39	    9761	b
39	    11145	b
39	    8043	b
39	    6283	b
39	    7521	b
39	    10507	b
39	    10307	b
74	    6613	b
74	    6692	b
74	    6669	b
74	    6638	b
74	    6471	b
74	    6617	b
74	    6774	b
74	    7327	b
74	    6697	b
74	    6712	b
244	    18703	b
244	    18747	b
244	    18883	b
244	    18765	b
244	    18932	b
244	    18724	b
244	    18887	b
244	    18927	b
244	    18988	b
244	    18934	b
769	    52179	b
769	    52158	b
769	    51684	b
769	    52224	b
769	    51771	b
769	    52200	b
769	    51875	b
769	    53119	b
769	    51427	b
769	    51164	b
1550	121203	b
1550	119496	b
1550	144967	b
1550	219179	b
1550	140264	b
1550	217551	b
1550	225053	b
1550	227632	b
1550	119772	b
1550	218663	b
39	    2265	c
39	    1296	c
39	    1290	c
39	    1297	c
39	    1298	c
39	    1294	c
39	    1296	c
39	    1295	c
39	    1296	c
39	    1299	c
74	    1697	c
74	    1701	c
74	    1706	c
74	    1690	c
74	    1693	c
74	    1696	c
74	    1690	c
74	    1692	c
74	    1686	c
74	    1685	c
244	    3364	c
244	    3354	c
244	    3361	c
244	    3358	c
244	    3369	c
244	    3361	c
244	    3360	c
244	    3368	c
244	    3365	c
244	    3364	c
39	    4215	d
39	    4302	d
39	    3807	d
39	    4376	d
39	    3656	d
39	    3535	d
39	    3366	d
39	    5890	d
39	    2863	d
39	    4874	d
74	    2667	d
74	    2466	d
74	    2450	d
74	    2466	d
74	    2452	d
74	    2661	d
74	    2575	d
74	    2562	d
74	    2393	d
74	    2391	d
244	    4939	d
244	    4572	d
244	    4916	d
244	    4738	d
244	    4839	d
244	    4184	d
244	    4888	d
244	    4928	d
244	    4644	d
244	    4418	d
769	    12375	d
769	    12629	d
769	    13747	d
769	    13607	d
769	    14820	d
769	    11953	d
769	    12562	d
769	    13942	d
769	    11339	d
769	    12659	d
1550	44658	d
1550	41825	d
1550	56952	d
1550	61635	d
1550	59176	d
1550	64105	d
1550	59959	d
1550	35768	d
1550	28904	d
1550	28086	d
74      5416    e
74      5762    e
74      5486    e
74      5284    e
74      5721    e
74      5615    e
74      5516    e
74      5761    e
74      5298    e
74      5405    e
244     8513    e
244     8272    e
244     8496    e
244     8633    e
244     8569    e
244     8105    e
1550    31923   e
1550    31960   e
1550    31889   e
1550    31588   e
1550    31730   e
1550    31796   e
