y                   label
8513                Gtx1080TiWebGPU
8272                Gtx1080TiWebGPU
8496                Gtx1080TiWebGPU
8633                Gtx1080TiWebGPU
8569                Gtx1080TiWebGPU
8105                Gtx1080TiWebGPU
3885.40252049764    GTX1080TiCUDA
3966.3426876068115  GTX1080TiCUDA
3847.371459007263   GTX1080TiCUDA
3822.498083114624   GTX1080TiCUDA
3843.759775161743   GTX1080TiCUDA
3911.6304318110147  GTX1080TiCUDA
183262              IntelHD630WebGPU
183504              IntelHD630WebGPU
183467              IntelHD630WebGPU
183535              IntelHD630WebGPU
