x	y	label
39	6378	a
39	5454	a
39	10450	a
39	5225	a
39	4446	a
39	5575	a
39	4755	a
39	3272	a
39	6018	a
39	4897	a
74	2583	b
74	2616	b
74	2576	b
74	2574	b
74	2568	b
74	2559	b
74	2560	b
74	2571	b
74	2566	b
74	2561	b
244	3662	c
244	3610	c
244	3631	c
244	3596	c
244	3548	c
244	3617	c
244	3572	c
244	3601	c
244	3580	c
244	3605	c
769	7687	d
769	7614	d
769	7601	d
769	7595	d
769	7625	d
769	7680	d
769	7622	d
769	7633	d
769	7612	d
769	7621	d
1550	23761	e
1550	28509	e
1550	18995	e
1550	33785	e
1550	37934	e
1550	29191	e
1550	36126	e
1550	25673	e
1550	16899	e
1550	23606	e
39	9919	f
39	6523	f
39	9177	f
39	9761	f
39	11145	f
39	8043	f
39	6283	f
39	7521	f
39	10507	f
39	10307	f
74	6613	g
74	6692	g
74	6669	g
74	6638	g
74	6471	g
74	6617	g
74	6774	g
74	7327	g
74	6697	g
74	6712	g
244	18703	h
244	18747	h
244	18883	h
244	18765	h
244	18932	h
244	18724	h
244	18887	h
244	18927	h
244	18988	h
244	18934	h
769	52179	i
769	52158	i
769	51684	i
769	52224	i
769	51771	i
769	52200	i
769	51875	i
769	53119	i
769	51427	i
769	51164	i
1550	121203	j
1550	119496	j
1550	144967	j
1550	219179	j
1550	140264	j
1550	217551	j
1550	225053	j
1550	227632	j
1550	119772	j
1550	218663	j
