x	y	label
39	2265	a
39	1296	a
39	1290	a
39	1297	a
39	1298	a
39	1294	a
39	1296	a
39	1295	a
39	1296	a
39	1299	a
74	1697	b
74	1701	b
74	1706	b
74	1690	b
74	1693	b
74	1696	b
74	1690	b
74	1692	b
74	1686	b
74	1685	b
244	3364	c
244	3354	c
244	3361	c
244	3358	c
244	3369	c
244	3361	c
244	3360	c
244	3368	c
244	3365	c
244	3364	c
39	4215	d
39	4302	d
39	3807	d
39	4376	d
39	3656	d
39	3535	d
39	3366	d
39	5890	d
39	2863	d
39	4874	d
74	2667	e
74	2466	e
74	2450	e
74	2466	e
74	2452	e
74	2661	e
74	2575	e
74	2562	e
74	2393	e
74	2391	e
244	4939	f
244	4572	f
244	4916	f
244	4738	f
244	4839	f
244	4184	f
244	4888	f
244	4928	f
244	4644	f
244	4418	f
769	12375	g
769	12629	g
769	13747	g
769	13607	g
769	14820	g
769	11953	g
769	12562	g
769	13942	g
769	11339	g
769	12659	g
1550	44658	h
1550	41825	h
1550	56952	h
1550	61635	h
1550	59176	h
1550	64105	h
1550	59959	h
1550	35768	h
1550	28904	h
1550	28086	h
